4502 Reiger Ave Dallas TX 75246,5324 East Side Ave Dallas TX 75214,5808 Gaston Ave Dallas TX 75214,6003 Oram St Dallas TX 75206,5908 Gaston Ave Dallas TX 75214,2315 Moser Ave Dallas TX 75206,6011 Gaston Ave Dallas TX 75214,5820 Reiger Ave Dallas TX 75214,5050 Capitol Ave Dallas TX 75206,Dallas TX 75204
['[]'],['[]'],['[]'],"['1', '1', '680', '$ 707', '1', '1', '725', '$ 737']","['1', '1', '725', '$ 847', '2', '1', '800', '$ 847']","['1', '1', '517', '$ 551', '1', '1', '532', '$ 561']","['1', '1', '800', '$ 866', '2', '1', '1000', '$ 1012']",['[]'],"['1', '1', '573', '$ 1159', '1', '1', '910', '$ 1684']","['1', '1', '564', '$ 837', '1', '1', '691', '$ 887']"
